id	qid1	qid2	question1	question2	is_duplicate
400291	533640	533641	Are there Best Buys in China?	What are the best buys from china?	0
369549	57798	488973	What are enlightenment values?	What is enlightenment?	0
292198	183037	100451	What is the stupidest thing you've almost done?	Stupidity: What is the stupidest thing anyone has ever done?	0
207547	311264	311265	Where can I buy cheap dry fruits in Hyderabad?	Where can I buy cheapest dry fruits in Mumbai?	0
146367	231219	231220	How can one overcome ophthalmophobia?	How can I overcome this?	0
306505	91642	56527	From where can I learn programming?	Where should I start to learn programming?	1
401844	508478	535291	Are Jewish men attracted to Black women?	Are white Jewish men attracted to black women?	1
350783	479541	479542	In which instances has a team won the test match even after not getting all the 20 wickets?	How many times has it happened in the history of test cricket that a team has won without taking all the 20 opposition wickets?	1
234365	344840	344841	Is it good to buy a smart phone from AliExpress?	Is it smart to buy a refurbished Nubia Z9 Mini from eBay?	0
394578	527479	120448	Apply for ICICI international debit card?	How can I do an international transaction using my ICICI bank debit card?	0
