id	qid1	qid2	question1	question2	is_duplicate
312889	126083	437412	What's the difference between CIA, NSA, FBI, and Homeland security?	What is the difference among FBI, homeland security, CIA and local police?	0
61189	106883	54220	How will the demonetization of 500 and 1000 rupee notes affect the value of INR against USD?	What will happen to the value of the rupee because of the invalidity of 500 and 1000 rupee notes?	1
398464	500694	279678	What are the signs of possible sexual abuse in a child?	What are signs of sexual abuse?	0
276009	394891	394892	How do I calculate the volume of a pyramid?	How do you calculate the volume of a pyramid?	1
292887	414567	414568	Why can't your switch statement data type be long, Java?	Why is long type unusable in a switch statement in Java?	1
31727	58474	58475	How do I find investors for my medical startup?	How can I find investors for my tech startup?	1
296272	418451	418452	Does Nextdoor have an API?	When is Nextdoor going to launch in other countries?	0
387897	520232	157165	How do I write essay for upsc?	How do I prepare for the IAS Mains essay paper?	0
132625	4095	212329	Which of the sentences is correct? I have visited my doctor yesterday, I visited my doctor yesterday or I had visited my doctor yesterday	She had worn a/the black dress yesterday. Which article is correct to use in this sentence?	0
233644	326669	343937	How do I improve my physics?	How should I improve my performance in physics?	0
331454	25020	458354	What are some websites similar to Coursera?	Are Coursera programs recognised?	0
108704	178559	178560	I just bunked my coaching exam. What should I do?	Who was Jackson Pollock? Was he mentally ill?	0
107238	66192	176471	What are the best investment strategies?	What is the best investment strategy for 2015?	0
149367	107127	235294	"Who said, ""Keep your friends close and your enemies closer?"""	Is death your enemy, acquaintance, or friend?	0
83249	140977	140978	How can America stop gun violence?	Other than calls for more guns and looser gun laws, what do gun rights folks think will reduce gun violence? What are they actively doing about it?	0
204492	307397	17019	What is the reaction between sulfuric acid and sodium nitrate?	What is the reaction between ammonia and sulfuric acid?	0
316168	441165	441166	How did you turn atheist?	How and why did you become an atheist?	1
397671	359984	50194	What type of government does Turkey have? How does it compare to the one in Nepal?	What type of government does Turkey have? How does it compare to the one in Canada?	0
128138	20135	7966	How will demonetization help Indian economy?	What are the impacts on Indian Rupee value after demonetizing Rs. 500 or Rs. 1000 notes in market as economic stand point?	0
297162	419502	351902	How do I prevent users on the same Netflix account from seeing my profile?	How do I remove other users on my Netflix account?	0
264265	381000	381001	How did Khal drogo die?	Was Khal Drogo intelligent?	0
403463	25891	537045	What is the difference between the past tense and the past participle?	"Can you have a past tense verb after ""was""?"	0
341304	14735	95577	How do I add photos to my questions in Quora?	Can I add images to my questions on Quora?	1
278092	255600	132546	How do I fix an iPod that isn't responding?	Why won't my iPod Touch 4G turn on? How do I fix it?	1
124421	200910	200911	Will the Dell Latitude 2100 be capable of running Kali Linux? Specifically with regard to aircrack-ng wireless card compatibility.	I think my wireless card dell 1705 is not packet injection compatible. How can I crack WiFi passwords with it using Kali Linux?	0
11306	21843	21844	What's the best legal way to get revenge?	My friend betrayed me in a terrible way. what is the best way to get closure, revenge, or let go?	0
148151	212961	233657	Who is best dermatologist in tirunelveli?	Who is the best dermatologist in bhubaneswar?	0
156220	244537	221021	What are the sexiest pornstars?	Who are the most sexiest female and male pornstars?	1
262245	282377	31214	Which are the top medical universities in Ukraine?	Which medical university is considered as a top medical university in Ukraine and why?	1
301969	184539	75731	How do I lose 3kg weight in one week?	How much weight can I lose in a week?	0
359096	488696	373850	How long before the space shuttle Challenger explosion/disaster would the crew on board have known they were going to die?	Did the Columbia crew in the shuttle know that they were going to die during the last fifteen minutes?	0
205331	308453	308454	What's the best strategy for new products launch?	What should be the right strategy to launch a new product in the FMCG market in the lamp category?	0
42795	77064	77065	Which one should I buy, a GoPro or DSLR camera?	Should I buy Nikon DSLR camera from Amazon?	0
201662	303716	303717	In the Indian mythological context should Vibhishana be considered a bad man for deserting his brother in hard times or good for siding with the right people? How should he be compared with Karna who made an almost opposite choice?	RAMAYANA: Why did Rama send Seeta to forest? Was he right in sending his wife who is a Pregnant lady by listening to a washer man false allegations? Was it a dharma of a king?	0
167451	259606	259607	How are high speed steel tools manufactured for slotting operations?	What high volume manufacturing processes are used to seal the end of a thin steel tube?	0
340425	468150	52939	What are the best books to learn java fundamentals?	What are the best books to learn Java?	0
24688	46087	46088	Trigonometry (mathematics): How does the tan inverse of -8/6 = -53.13°?	Trigonometry: Can you prove the hypotenuse divided by the short leg is equal to the Tan of the greater angle plus the Tan of 1/2 the lesser angle?	0
165306	256712	256713	What is the cause of carpal tunnel syndrome?	How do I treat my carpal tunnel syndrome?	0
42998	77404	77405	How much does an aluminum window and door corner crimping machine cost in India?	How much does it cost to get hair transplant in India?	0
254704	369487	21995	"What is the song with the lyrics ""Let me tell you about my best friend""?"	What are the lyrics to the Best Friends song from The Hangover?	0
321433	447137	447138	How can I reset my Twitter account?	Can Facebook or Twitter accounts be hacked? I do not want to know..but have curiosity to know?	0
213699	319092	319093	Does it make sense to study Mathematics at undergraduate level, then MIS in graduate school, and then a second Master’s or PhD in economics?	How many solar panels do I need to produce 1300 kWh?	0
255015	369847	369848	What does Satya Nadella think of Sundar Pichai?	How Sundar Pichai is different from Satya Nadella?	0
353332	482363	482364	Why are girls so obsessed with Beyoncé?	Why are girls so obsessed with clothes?	0
159803	249390	122917	Where is God?	God: Who/What is God?	0
186485	31949	67684	Is there any theory that explains that demonic possessions are some invention for making people get interested in religion?	Why did life originate on Earth only once? How and why?	0
293077	414789	414790	What are some mind-blowing facts about Yahoo?	What are the mind-blowing facts about Yahoo?	0
143027	226698	226699	Which is the best book for investment in mutual funds in India?	Who is the best mutual fund manager in India?	0
363818	289403	294356	What are different types of yogurt and how are they different?	What are the differences between Greek yogurt and normal yogurt?	0
244777	357471	357472	How does a Golden Retriever/Cocker mix interact with children?	How does a Golden Retriever/Cocker Spaniel mix interact with children?	0
76254	130378	130379	How do I get this girl to be with me?	What should I do to date a girl?	0
99473	165132	26511	What is the best way to avoid procrastinating on the internet?	How do I avoid procrastinating?	0
