id	qid1	qid2	question1	question2	is_duplicate
356794	271312	118619	What are the studies to become a pilot?	How do I study to become a pilot?	1
195739	195740	200475	What are the health benefits of eating baked beans for breakfast?	What are the health benefits of eating beans?	0
32703	59133	60170	What are the pros and cons of GST bill as per a common man?	What is GST? What are the pros and cons of GST?	1
80478	136833	136834	Why did the Indian stock market (Nifty &Sensex) crash by over 1.8% on Monday 21 November 2016?	Why is the Indian stock market falling since PM Modi's demonetisation move?	0
267516	312331	384899	What are the best medieval TV shows?	What are the best scientific TV shows?	0
107289	6897	176546	What was there before the Universe?	What existed before the creation of our universe?	1
115167	187852	187853	What are some study hacks every student should know?	What are some best study hacks for school?	1
280239	399790	399791	How do I learn digital painting for cartoon character by photoshop?	How do I learn digital painting for cartoon character?	0
94427	157702	157703	Why do guys wait days to text girls after a date? Do they really want to talk and hold back or do they not care so much and focus on work?	After a handful of dates, guy doesn't text much, waits till night to text and takes hours to respond. He does continue to ask me out. Is he into me?	0
43013	77428	77429	Online transfer on holidays?	I am an 18 year old girl living in Jeddah and im looking for jobs for the summer vacation that would pay around 3000 SR per month?	0
