index	promptID	pairID	genre	sentence1_binary_parse	sentence2_binary_parse	sentence1_parse	sentence2_parse	sentence1	sentence2	label1	gold_label
79967	123347	123347n	travel	( ( ( ( ( Children ( learn ( many ( traditional dances ) ) ) ) , ) and ) ( shows ( are ( ( ( put on ) ( by ( folk ( dance troupes ) ) ) ) ( ( ( at resorts ) ( as ( well as ) ) ) ( during fiestas ) ) ) ) ) ) . )	( Kids ( ( ( ( learn ( traditional dances ) ) and ) ( ( perform them ) ( for ( their parents ) ) ) ) . ) )	(ROOT (S (S (NP (NNP Children)) (VP (VBP learn) (NP (JJ many) (JJ traditional) (NNS dances)))) (, ,) (CC and) (S (NP (NNS shows)) (VP (VBP are) (VP (VBN put) (PRT (RP on)) (PP (IN by) (NP (JJ folk) (NN dance) (NNS troupes))) (PP (PP (IN at) (NP (NNS resorts))) (CONJP (RB as) (RB well) (IN as)) (PP (IN during) (NP (NNS fiestas))))))) (. .)))	(ROOT (S (NP (NNP Kids)) (VP (VP (VBP learn) (NP (JJ traditional) (NNS dances))) (CC and) (VP (VBP perform) (NP (PRP them)) (PP (IN for) (NP (PRP$ their) (NNS parents))))) (. .)))	Children learn many traditional dances, and shows are put on by folk dance troupes at resorts as well as during fiestas.	Kids learn traditional dances and perform them for their parents.	neutral	neutral
280924	54671	54671e	slate	( ( features ( ( the findings ) ( of ( ( a psychologist ) ( who ( claims ( he ( can ( ( predict ( with ( 90 ( percent accuracy ) ) ) ) ( whether ( ( a marriage ) ( will ( ( endure or ) dissolve ) ) ) ) ) ) ) ) ) ) ) ) ) . )	( There ( ( is ( ( a psychologist ) ( who ( predicts ( if ( ( a marriage ) ( will last ) ) ) ) ) ) ) . ) )	(ROOT (S (VP (VBZ features) (NP (NP (DT the) (NNS findings)) (PP (IN of) (NP (NP (DT a) (NN psychologist)) (SBAR (WHNP (WP who)) (S (VP (VBZ claims) (SBAR (S (NP (PRP he)) (VP (MD can) (VP (VB predict) (PP (IN with) (NP (CD 90) (NN percent) (NN accuracy))) (SBAR (IN whether) (S (NP (DT a) (NN marriage)) (VP (MD will) (VP (VB endure) (CC or) (VB dissolve)))))))))))))))) (. .)))	(ROOT (S (NP (EX There)) (VP (VBZ is) (NP (NP (DT a) (NN psychologist)) (SBAR (WHNP (WP who)) (S (VP (VBZ predicts) (SBAR (IN if) (S (NP (DT a) (NN marriage)) (VP (MD will) (VP (VB last)))))))))) (. .)))	features the findings of a psychologist who claims he can predict with 90 percent accuracy whether a marriage will endure or dissolve.	There is a psychologist who predicts if a marriage will last.	entailment	entailment
362658	132744	132744c	slate	( ( For ( 40 years ) ) ( , ( McBain ( ( has ( ( ( been ( ( a ( lively ( and ( gritty chronicler ) ) ) ) ( of ( New ( York ( City life ) ) ) ) ) ) and ) ( helped ( inspire ( ( TV ( cop shows ) ) ( such ( as ( ( ( ( ( Homicide , ) ( NYPD Blue ) ) , ) and ) ( Hill ( Street Blues ) ) ) ) ) ) ) ) ) ) . ) ) ) )	( McBain ( ( helped ( inspire ( all ( the sitcoms ) ) ) ) . ) )	(ROOT (S (PP (IN For) (NP (CD 40) (NNS years))) (, ,) (NP (NNP McBain)) (VP (VBZ has) (VP (VP (VBN been) (NP (NP (DT a) (JJ lively) (CC and) (JJ gritty) (NN chronicler)) (PP (IN of) (NP (NNP New) (NNP York) (NNP City) (NN life))))) (CC and) (VP (VBN helped) (S (VP (VB inspire) (NP (NP (NN TV) (NN cop) (NNS shows)) (PP (JJ such) (IN as) (NP (NP (NNP Homicide)) (, ,) (NP (NNP NYPD) (NNP Blue)) (, ,) (CC and) (NP (NNP Hill) (NNP Street) (NNPS Blues)))))))))) (. .)))	(ROOT (S (NP (NNP McBain)) (VP (VBD helped) (VP (VB inspire) (NP (PDT all) (DT the) (NNS sitcoms)))) (. .)))	For 40 years, McBain has been a lively and gritty chronicler of New York City life and helped inspire TV cop shows such as Homicide , NYPD Blue , and Hill Street Blues .	McBain helped inspire all the sitcoms.	contradiction	contradiction
306663	121639	121639n	telephone	( uh-huh ( ( the kids ) ( thought ( that ( was wonderful ) ) ) ) )	( ( The kids ) ( ( wish ( it ( would ( 've ( lasted ( even longer ) ) ) ) ) ) . ) )	(ROOT (S (VP (VB uh-huh) (SBAR (S (NP (DT the) (NNS kids)) (VP (VBD thought) (SBAR (IN that) (S (VP (VBD was) (ADJP (JJ wonderful)))))))))))	(ROOT (S (NP (DT The) (NNS kids)) (VP (VBP wish) (SBAR (S (NP (PRP it)) (VP (MD would) (VP (VB 've) (VP (VBN lasted) (ADVP (RB even) (RB longer)))))))) (. .)))	uh-huh the kids thought that was wonderful	The kids wish it would've lasted even longer.	neutral	neutral
33485	94907	94907n	fiction	( There ( ( was ( nobody ( to ( ( put ( ( Mr. Brown ) ( wise ( to ( the fact ) ) ) ) ) ( that ( ( Mrs. Vandemeyer ) ( meant ( to ( betray him ) ) ) ) ) ) ) ) ) . ) )	( ( Mr. Brown ) ( ( was ( a ( trusting person ) ) ) . ) )	(ROOT (S (NP (EX There)) (VP (VBD was) (NP (NN nobody) (S (VP (TO to) (VP (VB put) (S (NP (NNP Mr.) (NNP Brown)) (ADJP (JJ wise) (PP (TO to) (NP (DT the) (NN fact))))) (SBAR (IN that) (S (NP (NNP Mrs.) (NNP Vandemeyer)) (VP (VBD meant) (S (VP (TO to) (VP (VB betray) (NP (PRP him))))))))))))) (. .)))	(ROOT (S (NP (NNP Mr.) (NNP Brown)) (VP (VBD was) (NP (DT a) (VBG trusting) (NN person))) (. .)))	There was nobody to put Mr. Brown wise to the fact that Mrs. Vandemeyer meant to betray him.	Mr. Brown was a trusting person. 	neutral	neutral
39130	3243	3243c	telephone	( ( no she ) ( ( did n't ) ( even ( she ( ( ( did not ) even ) ( take ( ( the sack ) ( this ( is ( ( the ( laziest dog ) ) ( that ( ever lived ) ) ) ) ) ) ) ) ) ) ) )	( ( This dog ) ( ( ( is n't ) ( lazy ( at ( ( all , ) ( what ( do ( you mean ) ) ) ) ) ) ) . ) )	(ROOT (S (NP (DT no) (PRP she)) (VP (VBD did) (ADVP (RB n't)) (SBAR (RB even) (S (NP (PRP she)) (VP (VBD did) (RB not) (ADVP (RB even)) (VP (VB take) (NP (NP (DT the) (NN sack)) (SBAR (S (NP (DT this)) (VP (VBZ is) (NP (NP (DT the) (JJ laziest) (NN dog)) (SBAR (WHNP (WDT that)) (S (ADVP (RB ever)) (VP (VBD lived))))))))))))))))	(ROOT (S (NP (DT This) (NN dog)) (VP (VBZ is) (RB n't) (ADJP (JJ lazy) (PP (IN at) (NP (NP (DT all)) (, ,) (SBAR (WHNP (WP what)) (S (VP (VBP do) (SBAR (S (NP (PRP you)) (VP (VBP mean))))))))))) (. .)))	no she didn't even she did not even take the sack this is the laziest dog that ever lived	This dog isn't lazy at all, what do you mean.	contradiction	contradiction
12582	79689	79689e	telephone	( and ( it ( really ( um ( we ( like ( it ( it ( ( the ( interestingly ( enough one ) ) ) ( of ( ( the features ) ( we ( like ( are ( the ( electric locks ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) )	( We ( ( ( like ( the ( electric ( lock capability ) ) ) ) ( on ( that vehicle ) ) ) . ) )	(ROOT (S (CC and) (NP (PRP it)) (ADVP (RB really)) (VP (VBP um) (SBAR (S (NP (PRP we)) (VP (VBP like) (S (NP (PRP it)) (NP (PRP it)) (S (NP (NP (DT the) (JJ interestingly) (JJ enough) (NN one)) (PP (IN of) (NP (NP (DT the) (NNS features)) (SBAR (S (NP (PRP we)) (VP (VBP like) (SBAR (S (VP (VBP are) (NP (DT the) (JJ electric) (NNS locks)))))))))))))))))))	(ROOT (S (NP (PRP We)) (VP (VBP like) (NP (DT the) (JJ electric) (NN lock) (NN capability)) (PP (IN on) (NP (DT that) (NN vehicle)))) (. .)))	and it really um we like it it the  interestingly enough one of the features we like are the electric locks	We like the electric lock capability on that vehicle.	entailment	entailment
351977	79201	79201e	fiction	( Salt ( ( kept ( the ( town fed ) ) ) . ) )	( Salt ( ( kept ( ( the town ) thriving ) ) . ) )	(ROOT (S (NP (NNP Salt)) (VP (VBD kept) (NP (DT the) (NN town) (NN fed))) (. .)))	(ROOT (S (NP (NNP Salt)) (VP (VBD kept) (S (NP (DT the) (NN town)) (ADJP (JJ thriving)))) (. .)))	Salt kept the town fed.	Salt kept the town thriving.	entailment	entailment
282086	118599	118599e	telephone	( you ( you ( just ( you ( ( ( just ( get ( in there ) ) ) and ) ( do ( it yourself ) ) ) ) ) ) )	( You ( just ( ( ( ( walk in ) and ) ( do ( it yourself ) ) ) . ) ) )	(ROOT (FRAG (NP (NP (PRP you)) (SBAR (S (NP (PRP you)) (ADVP (RB just)) (NP (PRP you)) (VP (VP (ADVP (RB just)) (VBP get) (PP (IN in) (NP (RB there)))) (CC and) (VP (VBP do) (S (NP (PRP it)) (NP (PRP yourself))))))))))	(ROOT (S (NP (PRP You)) (ADVP (RB just)) (VP (VP (VBP walk) (PRT (RP in))) (CC and) (VP (VBP do) (S (NP (PRP it)) (NP (PRP yourself))))) (. .)))	you you just you just get in there and do it yourself	You just walk in and do it yourself.	entailment	entailment
130016	112369	112369e	government	( ( ( Participate ( in efforts ) ) ( to ( benchmark ( successful organizations ) ) ) ) . )	( ( Help ( to ( measure ( organizations success ) ) ) ) . )	(ROOT (S (VP (VB Participate) (PP (IN in) (NP (NNS efforts))) (PP (TO to) (NP (JJ benchmark) (JJ successful) (NNS organizations)))) (. .)))	(ROOT (S (VP (VB Help) (S (VP (TO to) (VP (VB measure) (NP (NNS organizations) (NN success)))))) (. .)))	Participate in efforts to benchmark successful organizations.	Help to measure organizations success.	entailment	entailment
