1,"diesel stars as xander "" xxx "" cage , the notorious underground thrill seeker who until now has been deemed untouchable by the law ."
1,a young idealistic priest in northern ireland has his faith put to the test when he is faced with the ultimate moral dilemma .
1,he forgets most things after only a few minutes .
1,"he led a bleak life , stuck in a boring routinity created by his ambition to become a sucessfull producer in one jakarta's leading tv station ."
0,is this love or is it masochism ? binoche makes it interesting trying to find out .
0,"evokes the frustration , the awkwardness and the euphoria of growing up , without relying on the usual tropes ."
0,a belgian gem on the twilight existence of four sisters of a certain age drawn together reluctantly by the need to care for one of their number .
0,a film that clearly means to preach exclusively to the converted .
0,an endearingly offbeat romantic comedy with a great meet-cute gimmick .
0,"the script covers huge , heavy topics in a bland , surfacey way that doesn't offer any insight into why , for instance , good things happen to bad people ."
