id	qid1	qid2	question1	question2	is_duplicate
317827	443090	443091	Are Stephen Hawking theories fictional?	Do you believe Stephen Hawking's theory that mankind has only 1,000 more years on Earth?	0
57205	100554	100555	"What impact is the ""Make In India"" campaign going to make in the future?"	"Do you want to see ""Make in India"" or ""Made in India""?"	0
383183	22703	8535	How does starving help to lose weight?	What are the pros and cons of strarving yourself in order to lose weight?	1
314124	438812	438813	Who is jack in Fight Club?	Does watching Fight Club encourage you or distract you?	0
86157	145340	145341	What happens to the preflight/departure Aircraft engineer and Technician if the aircraft meets with an unfortunate mishap?	Puerto Rico has no fighter jets in the island, what would happen if an unauthorized aircraft was spotted approaching Puerto Rico and does not turn?	0
310396	66348	40368	How do create a website?	How do I start my own website?	1
42349	76327	76328	Can you turn the Tesla S center console off while driving to avoid light?	Why is it important to turn fog lights off after leaving a foggy area?	0
47523	84840	84841	What does a 3.0L V6 engine mean?	What's the difference between a V4 and V6 engine?	0
65131	113083	113084	What does ECR and ECNR mean on an Indian passport?	Can I get a transit visa in Turkey with 6.5 hrs layover in Istanbul airport? I hold an Indian passport.	0
400864	534231	495369	How much is it possible to get home state posting for tax assistant through SSC CGL?	Is it possible to get home state postings in SSC CGL?	0
