into one good one 	1
come away with a greater knowledge of the facts of cuban music 	1
the best , 	1
one of those ` alternate reality ' 	0
footage that might have made no such thing a trenchant , ironic cultural satire instead of a frustrating misfire 	0
jack o ' 	1
it is a kind , unapologetic , sweetheart of a movie , and 	1
represents an engaging and intimate first feature 	1
excruciating film 	0
sweet cinderella story 	1
a thoroughly enjoyable , heartfelt coming-of-age comedy . 	1
forgive the flaws and love the film 	1
it 's this rich and luscious 	1
with the fast , funny , and even touching story 	1
its hard to imagine having more fun watching a documentary ... 	1
visually captivating . 	1
often lingers just as long on the irrelevant as on the engaging , which gradually turns what time is it there ? 	0
that will stimulate hours of post viewing discussion , if only to be reminded of who did what to whom and why 	1
shrewdly 	1
begins to resemble the shapeless , grasping actors ' workshop that it is . 	0
deep down , i realized the harsh reality of my situation 	0
little less bling-bling and a lot more romance 	0
dismay 	0
a complex psychological drama 	1
largely flat and uncreative moments 	0
than a movie , which normally is expected to have characters and a storyline 	0
intrigued 	1
grey zone 	0
used soap 	0
an exhilarating new interpretation 	1
