123431	slate	In a world I never made.	I made this world. 	contradiction
8029	travel	However, with the city partitioned by fortifications and barbed wire, no Israeli or Jewish pilgrims were allowed to visit the Western Wall or other Jewish sites in East Jerusalem.	Sites in East Jerusalem weren't accessible to Jewish pilgrims.	entailment
136087	government	In some instances, only one component of a case study may be analyzed in this way.	It's always possible to analyze a case study this way.	contradiction
122209	telephone	you know um i used to think Dallas was better than Houston because their zoning for where you can put a house next to a now it looks just like Houston to me you know	Dallas used to look very different and varied but now it's boring and all the same. 	neutral
5542	government	The site permitted the interested public to subscribe to a list server that would notify subscribers by email when NPRMs and final rules are published or posted.	The site allowed people who were interested to subscribe to a list, which notifies subscribers by email when any final rules are published/posted.	entailment
101513	fiction	'Oh, Ben,' Greuze called, as we were leaving.	We had readied to leave but it seemed that Greuze had forgot to tell Ben something important, as he stopped in his tracks and yelled out "Oh, Ben,". 	neutral
78328	slate	The book that resulted,  Bosnia and the Failure of the West , is an unrelenting indictment of the international community's inability--or unwillingness--to step in and stop the killing.	The international community did nothing to stop the killing.	entailment
62130	government	Forfeitures.	Unavoidable defaults	neutral
92707	slate	Al Gore has gotten a lot of coverage about how he raised soft money for the DNC, but a small item today in the WP 's The Reliable Source tells you something about how he spends it.	Al Gore didn't want to be involved in the DNC's fundraising.	contradiction
146027	travel	Probably nowhere is there so much spectacular painting on view in such a tiny space as in the Scuola di San Giorgio degli Schiavoni.	The work of art is quite small really.	entailment
