index	promptID	pairID	genre	sentence1_binary_parse	sentence2_binary_parse	sentence1_parse	sentence2_parse	sentence1	sentence2	label1	gold_label
3855	44761	44761e	fiction	( ( It ( ( was ( ( two nights ) ago ) ) ( when ( we ( killed ( ( the slave ) lord ) ) ) ) ) ) ( , ( '' ( San ( ` ( doro ( said . ) ) ) ) ) ) )	( ( The ( slave lord ) ) ( died . ) )	(ROOT (S (S (NP (PRP It)) (VP (VBD was) (ADVP (NP (CD two) (NNS nights)) (RB ago)) (SBAR (WHADVP (WRB when)) (S (NP (PRP we)) (VP (VBD killed) (SBAR (S (NP (DT the) (NN slave)) (VP (VBD lord))))))))) (, ,) ('' '') (NP (NNP San)) (`` `) (ADVP (RB doro)) (VP (VBD said)) (. .)))	(ROOT (S (NP (DT The) (NN slave) (NN lord)) (VP (VBD died)) (. .)))	It was two nights ago when we killed the slave lord," San'doro said.	The slave lord died.	entailment	entailment
9570	136263	136263e	government	( They ( ( asked ( Fieldstone ( to ( ( trade ( a ( ( deed ( to ( ( the house ) ( for ( $ 60,000 ) ) ) ) ) ( , ( enough cash ) ) ) ) ) ( to ( let ( ( the Ledfords ) ( buy ( a condo ) ) ) ) ) ) ) ) ) . ) )	( ( The ledford ) ( ( 's ( asked ( fieldstone ( to ( ( trade ( ( a ( ( deed ( to ( their house ) ) ) fir ) ) ( $ 60,000 ) ) ) ( so ( that ( they ( could ( buy ( a condo ) ) ) ) ) ) ) ) ) ) ) . ) )	(ROOT (S (NP (PRP They)) (VP (VBD asked) (S (NP (NNP Fieldstone)) (VP (TO to) (VP (VB trade) (NP (DT a) (ADJP (JJ deed) (PP (TO to) (NP (NP (DT the) (NN house)) (PP (IN for) (NP ($ $) (CD 60,000)))))) (, ,) (JJ enough) (NN cash)) (S (VP (TO to) (VP (VB let) (S (NP (DT the) (NNPS Ledfords)) (VP (VB buy) (NP (DT a) (NN condo))))))))))) (. .)))	(ROOT (S (NP (DT The) (NN ledford)) (VP (VBZ 's) (VP (VBN asked) (ADJP (JJ fieldstone) (S (VP (TO to) (VP (VB trade) (NP (NP (DT a) (ADJP (JJ deed) (PP (TO to) (NP (PRP$ their) (NN house)))) (NN fir)) (ADJP ($ $) (CD 60,000))) (SBAR (RB so) (IN that) (S (NP (PRP they)) (VP (MD could) (VP (VB buy) (NP (DT a) (NN condo)))))))))))) (. .)))	They asked Fieldstone to trade a deed to the house for $60,000, enough cash to let the Ledfords buy a condo.	The ledford's asked fieldstone to trade a deed to their house fir $60,000 so that they could buy a condo. 	entailment	entailment
13879	108573	108573n	travel	( ( Reassuring ( Unlike Martinique ) ) ( , ( Guadeloupe ( ( has ( ( ( ( no poisonous ) snakes ) or ) ( other ( harmful animals ) ) ) ) . ) ) ) )	( ( The ( native Guadeloupeans ) ) ( ( ( eradicated ( all ( harmful species ) ) ) ( long ago ) ) . ) )	(ROOT (S (S (ADJP (JJ Reassuring)) (PP (IN Unlike) (NP (NNP Martinique)))) (, ,) (NP (NNP Guadeloupe)) (VP (VBZ has) (NP (NP (ADJP (RB no) (JJ poisonous)) (NNS snakes)) (CC or) (NP (JJ other) (JJ harmful) (NNS animals)))) (. .)))	(ROOT (S (NP (DT The) (JJ native) (NNS Guadeloupeans)) (VP (VBD eradicated) (NP (DT all) (JJ harmful) (NN species)) (ADVP (RB long) (RB ago))) (. .)))	Reassuring Unlike Martinique, Guadeloupe has no poisonous snakes or other harmful animals.	The native Guadeloupeans eradicated all harmful species long ago.	neutral	neutral
25425	47925	47925c	slate	( Henceforth ( , ( ( this column ) ( ( will ( ( refer ( to ( ( the show ) ( as ( This Week ) ) ) ) ) ( until ( ( either ( ( Donaldson or ) Roberts ) ) ( wins ( top billing ) ) ) ) ) ) . ) ) ) )	( ( ( The ( current name ) ) ( of ( the show ) ) ) ( ( is permanent ) . ) )	(ROOT (S (S (ADJP (JJ Henceforth))) (, ,) (NP (DT this) (NN column)) (VP (MD will) (VP (VB refer) (PP (TO to) (NP (NP (DT the) (NN show)) (PP (IN as) (NP (DT This) (NN Week))))) (SBAR (IN until) (S (NP (DT either) (NNP Donaldson) (CC or) (NNP Roberts)) (VP (VBZ wins) (NP (JJ top) (NN billing))))))) (. .)))	(ROOT (S (NP (NP (DT The) (JJ current) (NN name)) (PP (IN of) (NP (DT the) (NN show)))) (VP (VBZ is) (ADJP (JJ permanent))) (. .)))	Henceforth, this column will refer to the show as This Week until either Donaldson or Roberts wins top billing.	The current name of the show is permanent.	contradiction	contradiction
34863	29165	29165c	telephone	( you ( get ( ( ( you ( ( a pair ) ( of ( metric ( pliers right ) ) ) ) ) and ) ( you ( beat ( on ( ( it and ) ( a ( metric hammer ) ) ) ) ) ) ) ) )	( ( ( ( Get ( ( a pair ) ( of underwear ) ) ) and ) ( ( cut it ) ( into pieces ) ) ) . )	(ROOT (S (NP (PRP you)) (VP (VBP get) (S (S (NP (PRP you)) (NP (NP (DT a) (NN pair)) (PP (IN of) (NP (JJ metric) (NNS pliers) (NN right))))) (CC and) (S (NP (PRP you)) (ADJP (JJ beat) (PP (IN on) (NP (NP (PRP it)) (CC and) (NP (DT a) (JJ metric) (NN hammer))))))))))	(ROOT (S (VP (VP (VB Get) (NP (NP (DT a) (NN pair)) (PP (IN of) (NP (NN underwear))))) (CC and) (VP (VB cut) (NP (PRP it)) (PP (IN into) (NP (NNS pieces))))) (. .)))	you get you a pair of metric pliers right and you beat on it and a metric hammer	Get a pair of underwear and cut it into pieces.	contradiction	contradiction
35396	35157	35157n	government	( ( Recognizing ( ( ( ( the relationship ) ( between ( grid ( cell resolution ) ) ) ) and ) ( ( the certainty ) ( of results ) ) ) ) ( , ( we ( ( sought ( to ( ( estimate ( pollutant concentrations ) ) ( in ( ( ( more populated ) areas ) ( using ( higher ( resolution models ) ) ) ) ) ) ) ) . ) ) ) )	( We ( ( had ( ( little time ) ( left ( to ( spend ( estimating ( pollutant concentrations ) ) ) ) ) ) ) . ) )	(ROOT (S (S (VP (VBG Recognizing) (NP (NP (NP (DT the) (NN relationship)) (PP (IN between) (NP (NN grid) (NN cell) (NN resolution)))) (CC and) (NP (NP (DT the) (NN certainty)) (PP (IN of) (NP (NNS results))))))) (, ,) (NP (PRP we)) (VP (VBD sought) (S (VP (TO to) (VP (VB estimate) (NP (JJ pollutant) (NNS concentrations)) (PP (IN in) (NP (NP (ADJP (RBR more) (JJ populated)) (NNS areas)) (VP (VBG using) (NP (JJR higher) (NN resolution) (NNS models))))))))) (. .)))	(ROOT (S (NP (PRP We)) (VP (VBD had) (NP (NP (JJ little) (NN time)) (VP (VBN left) (S (VP (TO to) (VP (VB spend) (S (VP (VBG estimating) (NP (JJ pollutant) (NNS concentrations)))))))))) (. .)))	Recognizing the relationship between grid cell resolution and the certainty of results, we sought to estimate pollutant concentrations in more populated areas using higher resolution models.	We had little time left to spend estimating pollutant concentrations.	neutral	neutral
36062	23253	23253e	government	( ( Under ( ( an interpretation ) ( that ( ( the claim ) ( must ( arise ( while ( ( the worker ) ( was ( in ( the ( United States ) ) ) ) ) ) ) ) ) ) ) ) ( , ( ( unscrupulous employers ) ( ( would ( ( be ( able ( to ( ( ( ( ( ( exploit ( the system ) ) by ) , ) ( for example ) ) , ) ( failing ( to ( ( mail ( a ( final ( paycheck ( or ( 3/4 ( guarantee payment ) ) ) ) ) ) ) ( after ( ( the ( H-2A worker ) ) ( ( ( left ( the country ) ) , ) ( with knowledge ) ) ) ) ) ) ) ) ) ) ) ( that ( ( the worker ) ( ( would not ) ( be ( ( entitled ( to ( legal representation ) ) ) ( on ( the claim ) ) ) ) ) ) ) ) ) . ) ) ) )	( ( Some employers ) ( ( use ( ( the laws ) ( to ( affect ( the ( H-2A workers ) ) ) ) ) ) . ) )	(ROOT (S (PP (IN Under) (NP (NP (DT an) (NN interpretation)) (SBAR (IN that) (S (NP (DT the) (NN claim)) (VP (MD must) (VP (VB arise) (SBAR (IN while) (S (NP (DT the) (NN worker)) (VP (VBD was) (PP (IN in) (NP (DT the) (NNP United) (NNPS States)))))))))))) (, ,) (NP (JJ unscrupulous) (NNS employers)) (VP (MD would) (VP (VB be) (ADJP (JJ able) (S (VP (TO to) (VP (VB exploit) (NP (DT the) (NN system)) (PP (IN by)) (, ,) (PP (IN for) (NP (NN example))) (, ,) (S (VP (VBG failing) (S (VP (TO to) (VP (VB mail) (NP (DT a) (JJ final) (NN paycheck) (CC or) (CD 3/4) (NN guarantee) (NN payment)) (SBAR (IN after) (S (NP (DT the) (NN H-2A) (NN worker)) (VP (VBD left) (NP (DT the) (NN country)) (, ,) (PP (IN with) (NP (NN knowledge))))))))))))))) (SBAR (IN that) (S (NP (DT the) (NN worker)) (VP (MD would) (RB not) (VP (VB be) (VP (VBN entitled) (PP (TO to) (NP (JJ legal) (NN representation))) (PP (IN on) (NP (DT the) (NN claim)))))))))) (. .)))	(ROOT (S (NP (DT Some) (NNS employers)) (VP (VBP use) (S (NP (DT the) (NNS laws)) (VP (TO to) (VP (VB affect) (NP (DT the) (NN H-2A) (NNS workers)))))) (. .)))	Under an interpretation that the claim must arise while the worker was in the United States, unscrupulous employers would be able to exploit the system by, for example, failing to mail a final paycheck or 3/4 guarantee payment after the H-2A worker left the country, with knowledge that the worker would not be entitled to legal representation on the claim.	Some employers use the laws to affect the H-2A workers.	entailment	entailment
50688	110760	110760n	fiction	( ( ( ( ( ( ( The ( few people ) ) ( on ( the streets ) ) ) ( ( ( looked up ) and ) ( made ( threatening gestures ) ) ) ) , ) but ) ( there ( was ( ( no flight ) ( of ( arrows ( from ( the ground ) ) ) ) ) ) ) ) . )	( ( ( Some people ) ( on ( the streets ) ) ) ( ( ( did not ) ( bother ( to ( look up ) ) ) ) . ) )	(ROOT (S (S (NP (NP (DT The) (JJ few) (NNS people)) (PP (IN on) (NP (DT the) (NNS streets)))) (VP (VP (VBD looked) (PRT (RP up))) (CC and) (VP (VBD made) (S (VP (VBG threatening) (NP (NNS gestures))))))) (, ,) (CC but) (S (NP (EX there)) (VP (VBD was) (NP (NP (DT no) (NN flight)) (PP (IN of) (NP (NP (NNS arrows)) (PP (IN from) (NP (DT the) (NN ground)))))))) (. .)))	(ROOT (S (NP (NP (DT Some) (NNS people)) (PP (IN on) (NP (DT the) (NNS streets)))) (VP (VBD did) (RB not) (VP (VB bother) (S (VP (TO to) (VP (VB look) (PRT (RP up))))))) (. .)))	The few people on the streets looked up and made threatening gestures, but there was no flight of arrows from the ground.	Some people on the streets did not bother to look up.	neutral	neutral
55016	96820	96820c	telephone	( i ( think ( there ( ( 's ( ( a problem ) ( too ( with teachers ) ) ) ) ( trying ( to ( um ( to ( ( be ( so versatile ) ) ( that ( they ( ( do ( lose ( sight ( of ( ( the basics ) ( you ( know ( they ( 've ( ( been ( ( a ( big drive ) ) ( in especially ) ) ) ( in ( the seventies ) ) ) ) ) ) ) ) ) ) ) ) ( to ( ( return back ) ( to ( the basics ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) )	( ( In ( the seventies ) ) ( there ( ( was ( a ( big ( drive ( to ( ( move away ) ( from ( the basics ) ) ) ) ) ) ) ) . ) ) )	(ROOT (S (NP (FW i)) (VP (VBP think) (SBAR (S (NP (EX there)) (VP (VBZ 's) (ADVP (NP (DT a) (NN problem)) (RB too) (PP (IN with) (NP (NNS teachers)))) (VP (VBG trying) (S (VP (TO to) (VP (VB um) (S (VP (TO to) (VP (VB be) (ADJP (RB so) (JJ versatile)) (SBAR (IN that) (S (NP (PRP they)) (VP (VBP do) (S (VP (VB lose) (NP (NP (NN sight)) (PP (IN of) (NP (NP (DT the) (NNS basics)) (SBAR (S (NP (PRP you)) (VP (VBP know) (SBAR (S (NP (PRP they)) (VP (VBP 've) (VP (VBN been) (NP (NP (DT a) (JJ big) (NN drive)) (PP (IN in) (ADVP (RB especially)))) (PP (IN in) (NP (DT the) (NNS seventies))))))))))))))) (S (VP (TO to) (VP (VB return) (PRT (RP back)) (PP (TO to) (NP (DT the) (NNS basics))))))))))))))))))))))	(ROOT (S (PP (IN In) (NP (DT the) (NNS seventies))) (NP (EX there)) (VP (VBD was) (NP (DT a) (JJ big) (NN drive) (S (VP (TO to) (VP (VB move) (PRT (RP away)) (PP (IN from) (NP (DT the) (NNS basics)))))))) (. .)))	i think there's a problem too with teachers trying to um to be so versatile that they do lose sight of the basics you know they've been a big drive in especially in the seventies to return back to the basics	In the seventies there was a big drive to move away from the basics. 	contradiction	contradiction
69678	26515	26515n	travel	( ( If ( ( ( peeking in ) ( through ( the ( wrought-iron gates ) ) ) ) ( ( is n't ) ( enough ( shoulder-rubbing ( with ( stardom ( for you ) ) ) ) ) ) ) ) ( , ( you ( ( can ( ( view ( the ( back lot ) ) ) ( on ( a ( walking tour ) ) ) ) ) . ) ) ) )	( ( Brad Pitt ) ( ( used ( to ( ( ( be around ) here ) ( all ( the time ) ) ) ) ) . ) )	(ROOT (S (SBAR (IN If) (S (S (VP (VBG peeking) (PRT (RP in)) (PP (IN through) (NP (DT the) (JJ wrought-iron) (NNS gates))))) (VP (VBZ is) (RB n't) (ADJP (RB enough) (JJ shoulder-rubbing) (PP (IN with) (NP (NP (NN stardom)) (PP (IN for) (NP (PRP you))))))))) (, ,) (NP (PRP you)) (VP (MD can) (VP (VB view) (NP (DT the) (JJ back) (NN lot)) (PP (IN on) (NP (DT a) (VBG walking) (NN tour))))) (. .)))	(ROOT (S (NP (NNP Brad) (NNP Pitt)) (VP (VBD used) (S (VP (TO to) (VP (VB be) (ADVP (RB around)) (ADVP (RB here)) (NP (PDT all) (DT the) (NN time)))))) (. .)))	If peeking in through the wrought-iron gates isn't enough shoulder-rubbing with stardom for you, you can view the back lot on a walking tour.	Brad Pitt used to be around here all the time.	neutral	neutral
