117400	fiction	I've followed Whittington and another man here.	I lost Whittington on the way here.	contradiction
26515	travel	If peeking in through the wrought-iron gates isn't enough shoulder-rubbing with stardom for you, you can view the back lot on a walking tour.	Brad Pitt used to be around here all the time.	neutral
108573	travel	Reassuring Unlike Martinique, Guadeloupe has no poisonous snakes or other harmful animals.	The native Guadeloupeans eradicated all harmful species long ago.	neutral
44761	fiction	It was two nights ago when we killed the slave lord," San'doro said.	The slave lord died.	entailment
95761	government	In response to continuing concerns about emissions from electric generating units, further reductions of emissions of multiple pollutants from electric power sector are being considered.	Nothing is being done about the emission of pollutants in the electric power sector.	contradiction
78736	government	They were both approved by OMB and assigned control  control number 32350461 for the amendments to the Quote Rule and control number 3235-0462 for the Display Rule.	The OMB approved both of them.	entailment
137190	telephone	because um you know you're uh you're time and you're space is is not your own space	The space you have does not belong to you.	entailment
29165	telephone	you get you a pair of metric pliers right and you beat on it and a metric hammer	Get a pair of underwear and cut it into pieces.	contradiction
47925	slate	Henceforth, this column will refer to the show as This Week until either Donaldson or Roberts wins top billing.	The current name of the show is permanent.	contradiction
110760	fiction	The few people on the streets looked up and made threatening gestures, but there was no flight of arrows from the ground.	Some people on the streets did not bother to look up.	neutral
