index	sentence1	sentence2	label
2355	"The Extraditables" have claimed responsibility for the murder of two employees of Bogota's daily El Espectador perpetrated today in Medellin, where two other El Espectator people, Miguel Soler Rodriguez and Martha Luz Lopez, were killed today in separate attacks carried out by gunmen.	Miguel Soler Rodriguez and Martha Luz Lopez were killed by two employees of Bogota's daily El Espectador.	not_entailment
1406	Desko's Orange beat Navy 1413 on Monday for the Division I title in men's lacrosse.	Desko's Orange beat Navy 14-13 on Monday for the Division I title in men's lacrosse.	not_entailment
403	Today's best estimate of giant panda numbers in the wild is about 1,100 individuals living in up to 32 separate populations mostly in China's Sichuan Province, but also in Shaanxi and Gansu provinces.	There are 1,100 pandas in the wild, in China.	entailment
916	A briefcase containing magnets, batteries and a cell phone sitting in the bushes outside a Charleston, South Carolina coffee shop drew the local bomb squad's attention, before it was determined that it contained no explosives. Police had earlier closed down Calhoun Street in downtown, where the coffee shop is located, but reopened the street and let local residents and business owners that the situation was over after performing an investigation.	A briefcase was found outside Starbucks in Charleston.	not_entailment
1877	Zinedine Zidane has beaten Thierry Henry and Ronaldo to the Fifa 2003 World Player of the Year award.	FIFA selects world football player of the year 1994.	not_entailment
514	BBC Radio 1 bosses have today reversed their decision to censor the word "faggot" from the 20 year old "Fairytale of New York" song by The Pogues. The initial censoring of the song caused controversy recently as the song had been played for 20 years without censoring, and resulted in many people contacting the BBC saying the decision was "ridiculous". The ban was also ridiculed for the fact that it only applied to Radio 1 and not to Radio 2 or any other station on the BBC network.	"Fairytale of New York" does not contain the word "faggot".	not_entailment
2297	The ball took one last turn and dropped into the cup for birdie, making Retief Goosen more than just the sole survivor of par at Pinehurst No. 2.	Goosen managed a combined 25-over par for the closing round.	not_entailment
612	"We've never had a core (business) thing," founder Richard Branson told Reuters at the launch this month of Virgin Vodka, which, with Virgin cola and Virgin computers, are his latest bright ideas.	Richard Branson's cola is called Virgin Cola.	entailment
1761	Argentina remains one of 17 countries still banning British cattle for breeding because of the outbreak of mad cow disease in 1980s.	Refusal of Argentina to buy cattle created new tensions between the two countries.	not_entailment
2126	Hippos do come into conflict with people quite often.	Hippopotamus attacks human.	entailment
1145	His family has steadfastly denied the charges.	The charges were denied by his family.	entailment
1542	A charity today joined forces with Glasgow's new Lord Provost to launch a campaign to help the Russian city's twin. A convoy of aid is being sent to Rostov-on-Don next month by The Caring City Organisation.	Rostov-on-Don is a Russian city whose twin is Glasgow.	entailment
2180	Protest votes as citizens of the 25 EU nations punished their governments for everything from high unemployment to involvement in Iraq.	Citizens of the 25 EU nations are punished by their governments for everything.	not_entailment
845	Prosecutors, who stated their intent on Sunday to seize bonds and cash from Madoff, filed another notice on Tuesday listing assets that they intend to seize, among them "various pieces of jewelry owned or held in the name of Ruth Madoff valued at approximately $2,624,340," and "approximately 35 sets of watches and cufflinks owned by Bernard Madoff," as well as $31.5 million in loans made to Madoff's sons.	Ruth Madoff is Bernard Madoff's daughter.	not_entailment
1123	Billy Werber, third baseman in Major League Baseball, has died at the age of 100. Werber died of natural causes on Thursday, January 22, 2009 at an assisted living center in Charlotte, North Carolina. He was moved there after his health deteriorated a month ago. His son said that when admitted, Werber refused to eat solid foods and would only drink liquids. "He just refused to eat and that was his plan," Bill Werber Jr. told the Associated Press. He added that his father was "sharp up until four weeks ago".	Werber died in North Carolina at the age of 100.	entailment
