index	sentence1	sentence2	label
2321	"A force majeure is an act of God," said attorney Phil Wittmann, who represents the New Orleans Saints and owner Tom Benson's local interests.	New Orleans Saints are property of Tom Benson.	entailment
439	Scientists at the Genome Institute of Singapore (GIS) have discovered the complete genetic sequence of a coronavirus isolated from a Singapore patient with SARS.	Singapore scientists reveal that SARS virus has undergone genetic changes.	not_entailment
1210	Frye says, that he (a homeopathy expert) and Iris Bell recently studied homeopathic treatment of fibromyalgia.  A new analysis - comparing published studies of homeopathic drugs to matched, randomly selected studies of medical drugs - suggests that these apparent homeopathic drug effects are merely placebo effects.	What really irks Frye and other doctors of homeopathy, however, is that homeopathic remedies are not supposed to be used like medical drugs.	not_entailment
2002	The Kalido Technical Advisory Board members include Boris Evelson, founder and managing partner, Textra Group, Inc., and Bill Inmon, president, Inmon Data Systems.	Boris Evelson founded the Kalido Technical Advisory Board.	not_entailment
2158	Hunting reef sharks is now banned throughout Maldivian waters. The government decision has made the Indian Ocean archipelago the first nation in the region to outlaw the practice. Shark numbers have plummeted in the Maldives in recent years because a significant minority of fishermen target sharks for their lucrative fins, which are used in shark-fin soup, a luxury Asian dish. Once its fins have been cut off, the shark is often returned to the sea where it suffocates over many painful hours.	Due to the decreasing number of sharks, Maldives have banned the hunt of reef sharks.	entailment
1817	Philip Morris the US food and tobacco group that makes Marlboro, the world's best-selling cigarette, shrugged off strong anti-smoking sentiment in the US.	Philip Morris owns the Marlboro brand.	entailment
301	The U.S. Senate has scheduled debate and a vote in June on a bill that would allegedly initiate a process for Native Hawaiians to achieve the same level of self-governance and autonomy over their own affairs that many Native American tribes currently have. Critics of the bill characterize it as going much further than any existing tribal recognition, creating a governing entity based solely on race, without the same requirements as needed for Native American tribal recognition, such as having existed predominantly as a distinct community, having exercised political influence over its members as an autonomous entity, and have continuously been identified as a tribal entity since 1900.	The Shoshones fight for their rights against the U.S. government.	not_entailment
565	Scott's execution led to outrage in Ontario, and was largely responsible for prompting the Wolseley Expedition which forced Louis Riel, now branded a murderer, to flee the settlement.	Louis Riel assassinated Scott.	not_entailment
1097	The mystery of Alexander the Great's tomb still has not unraveled, and locating the burial of Alexander seems to have become an impossible mission for archaeologists.	Alexander the Great's Tomb remains undiscovered.	entailment
2151	Sara Jane Moore, 77, who tried to assassinate Former United States President Gerald Ford in 1975 was paroled from prison in California this afternoon. Moore tried to assassinate Ford outside of the St. Francis Hotel in downtown San Francisco on January 15, by firing one shot, which missed because a bystander grabbed Moore's arms just seconds before she fired the gun. The bullet missed hitting Ford in the head by inches.	Sara Jane Moore is no longer in prison.	entailment
325	Female mosquitoes become infected with the malaria parasite when they draw blood from humans with malaria. The insects can then pass this on to other humans they bite, but do not get sick themselves.	Female mosquitoes spread malaria.	entailment
1336	Carmine Rocco, Health Director was contacted in June by Sue Robbins, Division of Waste Management, to advise him that she would be in the county to conduct a site visit to the former Woodson-Tenent Laboratory.	Sue Robbins visits the former Woodson-Tenent Laboratory.	entailment
1604	In other words, with its 2 million inhabitants, Slovenia has only 5.5 thousand professional soldiers.	Slovenia has 5.5 million inhabitants.	not_entailment
183	The New Zealand Rugby League team (Kiwis) have been docked two competition points and hooker Nathan Fien barred from playing in the Gilette Rugby League Tri-Nations series. It comes after allegations of Fien's availability to play for the Kiwi's were exposed by a documentation of his birth certificate. At a hearing the Rugby League International Federation ruled that Fien was unable to play for the kiwis as he was Australian born. Instead of his grandmother a resident of New Zealand, it was in fact his great-grandmother. According to Rugby League International Federation chairman Colin Love, the Kiwis thought great-grandparents were as good as grandparents.	Nathan Fien is a resident of Australia.	not_entailment
908	It could mean to leave in the street to thousands of workers.	It could lead to thousands of job losses.	not_entailment
1885	"This is a major milestone on our road to recovery, and I want to thank the members of Congress who came together in common purpose to make it happen," Obama said in his weekly address. "I will sign this legislation into law shortly, and we'll begin making the immediate investments necessary to put people back to work doing the work America needs done. This historic step won't be the end of what we do to turn our economy around, but the beginning."	The Congress wants to boost the economy.	entailment
356	Bout - who is generally believed to be a model for the arms dealer portrayed by Nicolas Cage in the 2005 movie 'Lord of War' - has repeatedly denied any involvement in illicit activities. At a hearing earlier this month, he angrily accused the United States of framing him and pressuring Thailand to extradite him. He has long been linked to some of the world's most notorious conflicts, allegedly supplying arms to former Liberian dictator Charles Taylor and Libyan leader Colonel Gaddafi.	Gaddafi is the leader of Thailand.	not_entailment
876	Kurdistan Regional Government Prime Minister Dr. Barham Salih was unharmed after an assassination attempt.	prime minister targeted for assassination	entailment
1647	The city's motto is Contemnit procellas, which means, "It defies the storms."	The city's motto is, appropriately, "Contemnit procellas" ( "It defies the storms").	entailment
916	A briefcase containing magnets, batteries and a cell phone sitting in the bushes outside a Charleston, South Carolina coffee shop drew the local bomb squad's attention, before it was determined that it contained no explosives. Police had earlier closed down Calhoun Street in downtown, where the coffee shop is located, but reopened the street and let local residents and business owners that the situation was over after performing an investigation.	A briefcase was found outside Starbucks in Charleston.	not_entailment
