75573	slate	The modern mistake is to think that important things must be planned, sponsored, reviewed, or licensed by the government.	There is a perception that some level of government involvement is necessary for priority things.	entailment
90189	government	Further, as we reported in April 2001, the National Infrastructure Protection Center had mixed success in establishing information-sharing relationships with other government entities and private industry.	The National Infrastructure Protection Center didn't have the anticipated success in establishing good information-sharing relationships with other government entities.	entailment
90755	slate	And now pharmaceutical giant Warner-Lambert has jumped in with Hall's Zinc Defense, a lozenge backed by a national TV-ad campaign.	Pharmaceutical companies very rarely use advertising to sell their products.	contradiction
96696	fiction	 Dave Hanson came awake trying to scream and thrusting at the bed with arms too weak to raise him.	Dave remained asleep as he tried to get up.	contradiction
69835	travel	Gondola Getaway (5437 East Ocean Boulevard) offers gondola cruises through the canals of Naples Island.	Gondola Getaway steers clear of the canals of Naples Island.	contradiction
88102	fiction	Then you won't do as I ask you?	So you won't obey me? 	entailment
38868	slate	Besides, if they did, we'd have to outlaw them.	We would have to outlaw them if they were dangerous.	neutral
23042	telephone	oh yeah it's it's uh absolutely it's great the way that it's broken out and you can uh set up little trips and day trips and things it's pretty pretty neat um oh i like photography um  magazines i don't take a subscription or anything like that um things oh being an engineer in facilities i do read a lot of a lot of uh building magazines and and and plant engineering magazines and read up on different ways to do things and energy management type of magazines and	Sometimes I would go to the library to look at travel magazines.	neutral
67195	telephone	but uh the the funny thing about the Cowboys is is that everybody is really enthused because we've got all these umpteen jillion draft choices and uh but when you look back on the team uh uh except for probably Emmett Smith nobody that's been drafted in the last twelve years is a starter	Only Emmett Smith is a starter, from the past twelve years' drafts.	entailment
75233	telephone	that that that's uh yeah that's absolutely right and you can gain a lot of ground doing that too if you	You won't earn anything by doing that	contradiction
