id	qid1	qid2	question1	question2	is_duplicate
317827	443090	443091	Are Stephen Hawking theories fictional?	Do you believe Stephen Hawking's theory that mankind has only 1,000 more years on Earth?	0
57205	100554	100555	"What impact is the ""Make In India"" campaign going to make in the future?"	"Do you want to see ""Make in India"" or ""Made in India""?"	0
383183	22703	8535	How does starving help to lose weight?	What are the pros and cons of strarving yourself in order to lose weight?	1
314124	438812	438813	Who is jack in Fight Club?	Does watching Fight Club encourage you or distract you?	0
86157	145340	145341	What happens to the preflight/departure Aircraft engineer and Technician if the aircraft meets with an unfortunate mishap?	Puerto Rico has no fighter jets in the island, what would happen if an unauthorized aircraft was spotted approaching Puerto Rico and does not turn?	0
310396	66348	40368	How do create a website?	How do I start my own website?	1
42349	76327	76328	Can you turn the Tesla S center console off while driving to avoid light?	Why is it important to turn fog lights off after leaving a foggy area?	0
47523	84840	84841	What does a 3.0L V6 engine mean?	What's the difference between a V4 and V6 engine?	0
65131	113083	113084	What does ECR and ECNR mean on an Indian passport?	Can I get a transit visa in Turkey with 6.5 hrs layover in Istanbul airport? I hold an Indian passport.	0
400864	534231	495369	How much is it possible to get home state posting for tax assistant through SSC CGL?	Is it possible to get home state postings in SSC CGL?	0
351224	480055	480056	How do I prepare schedule for Maharashtra HSC board?	Where could I learn violin in Bhopal?	0
253144	367620	37371	Should I start writing?	How do you start writing?	0
235406	346113	346114	Is ASA eye surgery detectable by doctors?	Is laser eye surgery worth getting?	0
380233	475481	511838	What do teenage boys think about girls?	What do teenage boys think when a girl stares at them?	0
390512	523024	509900	How can I understand somebody who is a sociopath?	How can I know if someone is a sociopath?	1
206245	309610	309611	What is the best learning path for SDN from scratch for non technical person?	What's the best way to learn ActionScript 3.0 on Flash Develop from scratch?	0
281525	401303	401304	With 476 rank in UP, what are the chances of getting GSVM Kanpur at the end of UP NEET State counselling?	"What is the significance of Pablo Picasso's ""The Roaster"" painting?"	0
379003	510496	454478	What is a suitable inpatient drug and alcohol rehab center near Carroll County KY?	Which is a good inpatient drug and alcohol rehab center near Monroe County KY?	0
94243	157428	157429	What is an FX format?	Can you share some of the weirdest things you have done in a plane?	0
323410	449371	202722	Does lamictal cause hair loss?	Can scalp psoriasis cause hair loss?	0
8706	16961	16962	Does the King Street Capital hedge fund have its back office operations in-house or outsourced to a fund admin?	What is the minimum capital needed to invest into a hedge fund?	0
362296	492197	361030	Who is hberry on TopCoder?	Who is TopCoder?	0
397536	530662	530663	What are some over used things of fantasy novels to avoid while writing ?	Why most of the anti reservation people not concerned about the 100% reservation provided in the Indian film industry?	0
403134	17354	536698	Where can I found best quality walk in wardrobes in Sydney?	Where can I the find best quality wardrobes in Sydney?	1
143917	16463	29775	How do I improve my communication skills in one month?	What should we do to improve communication skills?	1
141849	225083	225084	Why do IT companies want their employees to give them passport copies?	Why do IT companies want their employees to give passport copies?	1
14657	28059	28060	What are the principles of system analysis?	What is Systems Analysis? What are the principles of Systems Analysis?	1
80832	137356	137357	What is the difference between a DOS laptop and Windows 8 laptop?	How do I install GTK in my Windows 8 laptop?	0
71914	123671	109541	Could the Earth's magnetic field be used to produce electrical energy?	Is it possible to use the earth's magnetic field to produce electricity?	1
166441	258266	258267	How can I stop Outlook from synchronising folders automatically?	How can I stop Outlook synchronising folders?	0
360809	490600	490601	Calculus required for physics?	Can two algebraic structures of different cardinalities be homomorphic?	0
291681	413143	413144	Why has Thailand never retained all their lost land taken by the French and the English?	Why is Thailand called the Land of Smiles?	0
344772	473033	473034	How do I integrate the Stanford parser in a Java program?	Why isn't the Stanford Parser available in CPP?	0
327630	454073	454074	Can a research paper be done on the effect of monsoon on stock price return and volatility of Indian manufacturing sector?	Can a research paper be done on the effect of weather on stock price return and volatility of Indian manufacturing sector?	0
251528	365656	365657	What is the difference between a single pole and dual pole light switch?	How do you install a 220-volt double-pole switch?	0
387318	190233	519636	Who are some famous people whose careers got ruined because they are jerks?	Who are some famous people whose corpses have not decomposed?	0
294016	78754	415835	Why did my friend leave me?	What will I do if all my friends leave me?	0
22572	42345	42346	Who is the richest woman in Africa?	Who is the richest person in Africa?	0
162623	51816	253136	How can one attend the 7th national marketing conclave of KIIT school of management ?	How do people manage to travel outside, attend college and work in the coldest parts of the world?	0
68899	118975	118976	Is there any nude beach in India?	Why aren't there any nude beaches in India?	0
67775	117232	117233	What age is the appropriate age to have sex for the first time?	What was your age when you had sex for the first time?	0
390956	329920	523520	How many students graduate college in the US each year?	How many people go to the beach in the US each year?	0
80380	136667	136668	What does Jimmy wales think about rational wiki?	What does Jimmy Wales think about Wiki Answers?	0
283588	403708	403709	What are the two types of scrollbars? How do they differ from each other?	How do use Jio sim in 3G phone?	0
89799	150808	150809	How much is 1.8 lakh in dollars?	How much is 17 000 US dollars in Canadian dollars?	0
18813	35608	35609	What are the chararcteristics of the asthenosphere?	What is the asthenosphere?	0
296446	418662	43070	Were I can find chicken roasted?	How do I roast a chicken?	0
229395	40756	338676	What are some tips on making it through the job interview process at First Merchants?	What are some tips on making it through the job interview process at Lowe's?	0
